query,positive,negative
"
Even in cases when the victim has proven that authority of supervision has been granted to the agent supervisor from the employerprior to the act of injury of the employee, if proof is provided that the agent supervisor exercised reasonable care to the appointment and supervisionof the employee, the agent supervisor is released from liability.
","(1) A person that employs another person for a business undertaking is liable to compensate for damage inflicted on a third party by that person's employees with respect to the execution of that business; provided, however, that this does not apply if the employer exercised reasonable care in appointing the employee or in supervising the business, or if the damage could not have been avoided even if the employer had exercised reasonable care.
(2) A person that supervises a business on behalf of the employer also has the liability referred to in the preceding paragraph.
(3) The provisions of the preceding two paragraphs do not preclude the employer or supervisor from exercising their right to reimbursement against the employee.","(1) If the obligor in a life annuity has received the principal for the life annuity but fails to pay the life annuity or fails to perform other obligations, the other party may demand the return of the principal. In such cases, the other party must return to the obligor of the life annuity the amount of the life annuity already received, after deducting the amount of the interest on that principal.
(2) The provisions of the preceding paragraph do not preclude claims for compensation for loss or damage."
 Usufructuary rights are only established for real estate. ,No real right may be established other than those prescribed by laws including this Code.,"A person subject to a decision for commencement of guardianship becomes an adult ward, and an adult guardian is appointed for that person."
 Usufructuary rights are only established for real estate. ,"A superficiary has the right to use another person's land in order to own structures, or trees or bamboo, on that land.","(1) A pledgee may directly collect the claim that is the subject matter of the pledge.
(2) If monies are the subject matter of a pledged claim, the pledgee may collect the same to the extent of the portion that corresponds to the amount of the pledgee's own claim.
(3) If the due date of the pledged claim referred to in the preceding paragraph arrives prior to the due date of the claim of the pledgee, the pledgee may have the third party obligor deposit with official depository that amount to be paid to the pledgee. In this case, the pledge exists over the amount so deposited.
(4) If the subject matter of the pledged claim is not monies, the pledgee has the pledge over the thing received for the satisfaction of the claim."
 Usufructuary rights are only established for real estate. ,A farming right holder has the right to pay rent and engage in cultivation or livestock farming on another person's land.,"If the obligee is negligent regarding the failure to perform the obligation or the occurrence or spreading of a damage caused thereby, the court determines the liability for compensation for loss or damage and the amount thereof by taking these elements into consideration."
 Usufructuary rights are only established for real estate. ,"A servitude holder has the right to use another person's land for the convenience of their own lands in accordance with purposes prescribed in the act establishing the servitude; provided, however, that this right must not violate the provisions (limited to those that relate to public policy) under Section 1 of Chapter 3 (Extent of Ownership).","(1) In the following cases, the obligee may immediately cancel the contract without making the demand referred to in the preceding Article:
(2) In the following cases, the obligee may immediately cancel a part of the contract without making the demand referred to in the preceding Article:"
"
Statutory real rights granted by way of security exist, but statutory usufructuary rights do not exist.
","(1) If a possessor of a thing belonging to another person has a claim that has arisen in relation to that thing, that possessor may retain that thing until that claim is satisfied; provided, however, that this does not apply if the relevant claim has not yet fallen due.
(2) The provisions of the preceding paragraph do not apply if possession commenced by means of a tortious act.","(1) A person under curatorship must obtain the consent of the curator in order to perform any of the following acts; provided, however, that this does not apply to an act provided for in the proviso of Article 9:
(2) At the request of a person as referred to in the main clause of Article 11 or the curator or curator's supervisor, the family court may decide that the person under curatorship must also obtain the consent of the curator before performing an act other than those set forth in each of the items of the preceding paragraph; provided, however, that this does not apply to an act provided for in the proviso to Article 9.
(3) If the curator does not consent to an act for which the person under curatorship must obtain the curator's consent even though it is unlikely to prejudice the interests of the person under curatorship, the family court may grant permission that operates in lieu of the curator's consent at the request of the person under curatorship.
(4) An act for which the person under curatorship must obtain the curator's consent is voidable if the person performs it without obtaining the curator's consent or a permission that operates in lieu of it."
"
Statutory real rights granted by way of security exist, but statutory usufructuary rights do not exist.
",The holder of a statutory lien has the rights to have that holder's own claim satisfied prior to other obligees out of the assets of the relevant obligor in accordance with the provisions of laws including this Act.,"(1) If a lessee continues to make use or take the profits of the thing after the expiration of the term of the lease and a lessor that knows of the same raises no objection, it is presumed that a further lease is entered into under conditions identical to those of the previous lease. In such cases, each party may give a notice of termination pursuant to the provisions of Article 617.
(2) If one of the parties has provided security for the previous lease, the security is extinguished upon expiration of the term; provided, however, that this does not apply to a security deposit prescribed in Article 622-2, paragraph (1)."
"
Statutory real rights granted by way of security exist, but statutory usufructuary rights do not exist.
","If the land and a building on that land belong to the same owner, a mortgage is created with respect to that land or building, and the enforcement of that mortgage causes them to belong to different owners, it is deemed that a superficies has been created with respect to that building. In this case, the rent is fixed by the court at the request of the parties.","(1) If a person who has taken leave of the domicile or residence up until then (hereinafter referred to as an ""absentee"") has not appointed an administrator for the person's property (hereinafter in this Section referred to simply as an ""administrator""), the family court, at the request of an interested person or a public prosecutor, may order the necessary dispositions with regard to the administration of that property. The same applies if the administrator's authority is extinguished during the absence of the absentee.
(2) If an absentee appoints an administrator after an order under the provisions of the preceding paragraph has been issued, the family court must rescind that order at the request of the person's administrator, an interested person, or a public prosecutor."
"
In cases where real rights do not require requirements of perfection, the real rights that formed earlier in time take priority.
","(1) If there are competing general statutory liens, the order of priority follows the order set forth in each item of Article 306.
(2) Ife there are competing a general statutory lien and a special statutory lien, the special statutory lien has priority over the general statutory lien; provided, however, that statutory liens on expenses for the common benefit have priority being effective against all obligees who benefit from the same.","(1) The duration of pledges of immovables may not exceed 10 years. Even if a longer period is provided for in the act establishing the pledge, the duration of the same is 10 years.
(2) The creation of pledges of immovables may be renewed; provided, however, that the duration of the same may not exceed 10 years from the time of the renewal."
"
In cases where real rights do not require requirements of perfection, the real rights that formed earlier in time take priority.
",A person that has a claim arising from the causes set forth below has a statutory lien over the entire assets of the obligor:,"(1) The provisions of Article 466, paragraph (3) do not apply to an attaching obligee that has enforced compulsory execution against a claim that is subject to the manifestation of intention to restrict assignment.
(2) Notwithstanding the provisions of the preceding paragraph, if a third party such as the assignee knew or did not know due to gross negligence that the manifestation of intention to restrict assignment was made, and the obligee of the assignee or other third party enforces compulsory execution against the claim referred to in that paragraph, the obligor may refuse to perform the obligation and duly assert against an attaching obligee any event that results in extinguishing the obligation such as payment to the assignor."
"
In cases where real rights do not require requirements of perfection, the real rights that formed earlier in time take priority.
","(1) If there are competing special statutory liens against the same movables, the order of priority follows the order set forth below. In this case, if there are two or more preservers with respect to the statutory liens for preservation of movables set forth in item (ii), a new preserver has priority over previous preservers:
(2) In the cases referred to in the preceding paragraph, if a holder of a statutory lien ranked first knew at the time of acquiring the relevant claim of the existence of a holder of a statutory lien of the second or third rank, that holder may not exercise the relevant rights of priority against those persons. The same applies to the exercise against persons that have preserved things on behalf of the holder of a statutory lien of the first rank.
(3) Regarding fruits, the first rank belongs to persons who engage in agricultural labor, the second rank belongs to persons that supply seeds and seedlings or fertilizer, and the third rank belongs to lessors of land.","(1) A redemption period may not exceed 10 years. If any special agreement provides for any period longer than this, that period is considered to be 10 years.
(2) If a period for the redemption is agreed upon, no further extension may be effected subsequently.
(3) If no period for the redemption is agreed upon, the redemption must be effected within five years."
"
Even if procedures for auctions petitioned by a lower rank security interest holder have begun, since the  first rank -revolving mortgagee has priority over the lower rank security interest holder regarding selection of the timing of the auction, the first rank revolving mortgagee can stop the auction procedures without fixing the principal.
","(1) The principal secured by a revolving mortgage is crystallized in the following cases:
(2) If the commencement of auction procedures, the attachment under item (iii) of the preceding paragraph or the order commencing bankruptcy proceeding under item (iv) of that paragraph ceases to be effective, it is deemed that the principal secured was not crystallized; provided, however, that this does not apply if a person has acquired that revolving mortgage or a right for which the revolving mortgage is the subject matter on the assumption that the principal was crystallized.","(1) If a tree or bamboo branch from neighboring land crosses a boundary line, the landowner may have the owner of that tree or bamboo sever that branch.
(2) If a tree or bamboo root from neighboring land crosses a boundary line, the owner of the land may sever that root."
"
If the principal is fixed, the revolving mortgage will be treated the same as an ordinary mortgage, and thus, interests or damages of secured claims secured by the revolving mortgage shall be limited to the amount of the last two years.
","(1) A revolving mortgagee may exercise the relevant revolving mortgage up to the maximum amount with respect to all of crystallized principal as well as periodic payments including interest and compensation for loss or damage resulting from failure to perform obligations.
(2) If a claim under a negotiable instrument or check or electronically recorded monetary claim acquired from causes other than the transactions with the obligor is agreed to be treated as a claim to be secured by a revolving mortgage, and any of the following grounds exist, that revolving mortgage may be exercised only with respect to claims acquired before those grounds arose; provided, however, that even with respect to claims acquired after the grounds arose, the exercise of the revolving mortgage is not precluded as far as the claims were acquired without knowledge of those grounds:","If a lease is cancelled, the cancellation becomes effective solely toward the future. In such a case, the cancellation does not preclude a claim for compensation for loss or damage."
"
Since the  limit of performance received in priority by the revolving mortgage is determined by the  maximum amount, and  lower rank  security holders and  ordinary obligees do not possess interest in what kind of obligation will be secured,  the purpose  of the limit of the scope of the secured claim is to protect all mortgagors.
","(1) Mortgages may be created, by an establishing act, in order to secure unspecified claims of a certain scope, up to the limit of a maximum amount.
(2) The scope of the unspecified claims to be secured by the mortgage under the provisions of the preceding paragraph (hereinafter referred to as ""revolving mortgage"") must be prescribed by limiting the scope to claims arising from specific contracts with the obligor for continuous transactions or other claims arising from certain kinds of transactions with the obligor.
(3) Claims that arise continuously with the obligor pursuant to a specific cause, claims under negotiable instruments or checks, or electronically recorded monetary claims (meaning electronically recorded monetary claims prescribed in Article 2, paragraph (1) of the Electronically Recorded Monetary Claims Act (Act No. 102 of 2007); the same applies in paragraph (2) of the following Article) may be treated as claims that are to be secured by a revolving mortgage, notwithstanding the provisions of the preceding paragraph.","If the claim of a pledgee of movables is not satisfied, the pledgee may make a request to the court seeking the immediate appropriation of the thing pledged for the satisfaction of that claim in accordance with the evaluation of an appraiser only when there are reasonable grounds. In this case, the pledgee of movables must notify the obligor in advance of the request."
"
Even before the principal of the revolving mortgage is fixed, the  third party that performed secured claims after the arrival of the due date can execute the revolving mortgage in subrogation of the revolving mortgager, in order to make the right to obtain reimbursement from the obligor secure.
","(1) A person that acquires a claim from a revolving mortgagee before the principal is crystallized may not exercise the revolving mortgage with respect to that claim. The same applies to a person that made payment for or on behalf of an obligor before the principal was crystallized.
(2) If an obligation is assumed before the principal is crystallized, the revolving mortgagee may not exercise the revolving mortgage with respect to the obligation of the person that assumes the obligation.
(3) If the assumption of obligation releasing an old obligor is effected before the principal is crystallized, the obligee may not transfer the revolving mortgage to the obligation assumed by the new obligor, notwithstanding the provisions of Article 472-4, paragraph (1).
(4) If any novation due to the substitution of the obligee is effected before the principal is crystallized, the obligee before the novation may not transfer the revolving mortgage to the obligations after the novation, notwithstanding the provisions of Article 518, paragraph (1). The same applies to the obligee in the case of novation due to the substitution of the obligor before the principal is crystallized.","(1) A false manifestation of intention that a person makes in collusion with another person is void.
(2) The nullity of a manifestation of intention under the provisions of the preceding paragraph may not be duly asserted against a third party in good faith."
"
Since a  revolving mortgage before the fixing of principal  can be described as a right which dominates the value of the maximum amount  detached from the secured claim, it can be transferred in whole or in part, but since the obligor and the secured claim may change, approval must be obtained from the revolving mortgagor.
","(1) Before the principal is crystallized, a revolving mortgagee may assign a revolving mortgage, with the approval of the mortgagor of the revolving mortgage.
(2) A revolving mortgagee may divide the revolving mortgage into two revolving mortgages and assign either of the same pursuant to the provisions of the preceding paragraph. In this case, the rights for which that revolving mortgage is the subject matter is extinguished with respect to the revolving mortgage that was assigned.
(3) In order to effect an assignment under the provisions of the preceding paragraph, the approval of the person that holds the rights for which that revolving mortgage is the subject matter must be obtained.","When all of the lessee's assets are to be liquidated, the statutory lien of the lessor exists only with respect to the rent and other obligations for the previous, current and next terms, and obligations to compensate for loss or damage that arise in the previous and current terms."
"
Since a  revolving mortgage before the fixing of principal  can be described as a right which dominates the value of the maximum amount  detached from the secured claim, it can be transferred in whole or in part, but since the obligor and the secured claim may change, approval must be obtained from the revolving mortgagor.
","Before the principal is crystallized, a revolving mortgagee may, with the approval of the mortgagor of the revolving mortgage, effect a partial assignment of the revolving mortgage (meaning assignments of revolving mortgages that the assignor effects without dividing the revolving mortgage in order to co-own the same with the assignee; hereinafter the same applies in this Section).","(1) A person that employs another person for a business undertaking is liable to compensate for damage inflicted on a third party by that person's employees with respect to the execution of that business; provided, however, that this does not apply if the employer exercised reasonable care in appointing the employee or in supervising the business, or if the damage could not have been avoided even if the employer had exercised reasonable care.
(2) A person that supervises a business on behalf of the employer also has the liability referred to in the preceding paragraph.
(3) The provisions of the preceding two paragraphs do not preclude the employer or supervisor from exercising their right to reimbursement against the employee."
"
In cases where an adult ward receives the gift of a building, the adult ward cannot rescindthe relevant gift contract.
","A juridical act performed by an adult ward is voidable; provided, however, that this does not apply to the purchase of daily necessities or to any other act involved in day-to-day life.","(1) The statutory lien of a lessor of land exists against movables furnished to that land or buildings for the use of that land, movables provided for the use of that land, and fruits of that land in the possession of the lessee.
(2) The statutory lien of a lessor of a building exists against movables furnished to that building by the lessee."
"
In cases when the adult ward performs juristic acts other than acts related to everyday life, even if the adult ward obtains approval from the guardian of the adult in advance for the relevant juristic act, the adult ward can rescindthe juristic act.
","A juridical act performed by an adult ward is voidable; provided, however, that this does not apply to the purchase of daily necessities or to any other act involved in day-to-day life.","If the assignor of immovables is the lessor, the status of lessor may be transferred to the assignee by agreement between the assignor and the assignee, without the consent of the lessee. In such a case, the provisions of paragraphs (3) and (4) of the preceding Article apply mutatis mutandis."
"
In cases when the adult ward performs juristic acts other than acts related to everyday life, even if the adult ward obtains approval from the guardian of the adult in advance for the relevant juristic act, the adult ward can rescindthe juristic act.
","(1) An act that is voidable on the grounds of the qualified legal capacity to act of the person who did the act may be rescinded only by the person with qualified legal capacity (in the case of an act performed by the person as a legal representative of another person with limited capacity, including that other person with limited capacity), or an agent or successor thereof, or a person who has the authority to give consent thereto.
(2) An act that is voidable on the grounds of a mistake, fraud or duress may be rescinded only by the person who made the defective manifestation of intention, or an agent or successor thereof.","(1) A contract concluded by a person who acts as the agent of another person but has no authority to represent does not bind the principal unless the principal ratifies it.
(2) The ratification or refusal to ratify may not be duly asserted against the counterparty unless it is made to that counterparty; provided, however, that this does not apply if the counterparty has come to know the ratification or refusal to ratify."
"
The minor that has been appointed a guardian of a minor cannot request a ruling for commencement of guardianship and be appointed a guardian of an adult.
","The family court may decide to commence a guardianship in respect of a person who constantly lacks the capacity to appreciate the person's own situation due to a mental disorder, at the request of the person in question, that person's spouse, that person's relative within the fourth degree of kinship, the person's guardian of a minor, the person's supervisor of a minor's guardian, the person's curator, the person's curator's supervisor, the person's assistant, the person's assistant's supervisor, or a public prosecutor.","(1) When a partition is completed, each of the persons that participated in the partition must retain the instruments regarding things each of them acquired.
(2) Instruments regarding a thing that is partitioned for some or all co-owners must be retained by the person that acquired the largest portion of that thing.
(3) In the cases referred to in the preceding paragraph, if no person acquired the largest portion, the person that is to retain the instruments is determined by agreement among the persons that participated in the partition. If no agreement is reached, the court designates the same.
(4) A person that is to retain instruments must allow other persons that participated in the partition to use the instruments at the request of the same."
"
When jointly and severally liable guarantor person C acknowledges a claim from person A to person B before the prescription period has elapsed, the effect of interruption of prescription also affects main obligor person B.
","(1) If a right is acknowledged, a new period of prescription commences to run at the time of the acknowledgment.
(2) With respect to the disposition of the right of the other party, an acknowledgment referred to in the preceding paragraph does not require unlimited capacity to act or authority.","(1) A claim is extinguished by prescription in the following cases:
(2) A claim or property right other than ownership is extinguished by prescription if not exercised within 20 years from the time when the right became exercisable.
(3) The provisions of the preceding two paragraphs do not preclude the commencement of acquisitive prescription for the benefit of a third party that possesses the subject matter of a right with a time of commencement or a right subject to a condition precedent, at the time of commencing the possession; provided, however, that the holder of the right may demand acknowledgment from the possessor at any time to renew the prescription period."
"
When jointly and severally liable guarantor person C acknowledges a claim from person A to person B before the prescription period has elapsed, the effect of interruption of prescription also affects main obligor person B.
","(1) The postponement of the expiry of prescription period or the renewal of prescription period under the provisions of Article 147 or Article 148 is effective only between the parties with respect to whom grounds to postpone the expiry of prescription period or to renew prescription period have arisen and their successors.
(2) The postponement of expiry of prescription period under the provisions of Articles 149 through 151 is effective only between the parties with respect to whom grounds to postpone the expiry of prescription period have arisen and their successors.
(3) The renewal of prescription period under the provisions of the preceding Article is effective only between the parties with respect to whom grounds to renew prescription period have arisen and their successors.","If a farming right holder fails to pay the rent for two or more consecutive years, the landowner may demand the extinction of the farming right."
"
When jointly and severally liable guarantor person C acknowledges a claim from person A to person B before the prescription period has elapsed, the effect of interruption of prescription also affects main obligor person B.
","The provisions of Article 438, Article 439, paragraph (1), Article 440, and Article 441 apply mutatis mutandis to circumstances which arise with regard to the guarantor that bears the obligation jointly and severally with the principal obligor.","(1) After the principal is crystallized, the mortgagor of the revolving mortgage may request a reduction in the maximum amount of that revolving mortgage, to the amount of the obligations actually in existence plus the amount of the periodic payments including interest and the amount of compensation for loss or damage due to default in obligations that will arise in the following two years.
(2) As to the reduction in the maximum amount of a revolving mortgage registered pursuant to Article 398-16, it suffices to make the request referred to in the preceding paragraph with respect to one of those immovable properties."
"
When jointly and severally liable guarantor person C acknowledges a claim from person A to person B before the prescription period has elapsed, the effect of interruption of prescription also affects main obligor person B.
","Except in cases prescribed in Articles 438, Article 439, paragraph (1), and the preceding Article, any circumstances which have arisen with respect to one of the joint and several obligors is not effective in relation to other joint and several obligors; provided, however, that if the obligee and one of the other joint and several obligors manifest a different intention, their intention prevails with respect to the effect in relation to the remaining other joint and several obligees.",The creation of a pledge becomes effective through delivery of the subject matter of the pledge to the obligee.
"
Regarding delay in performance of a claim that occurred due to a commercial transaction, when a civil conciliation which states that the obligor will perform in installments is formed, the period of prescription for the relevant claim shall be 10 years.
","(1) The period of prescription of a right determined by a final and binding judgment or anything that has the same effect as a final and binding judgment is 10 years even if a period of prescription shorter than 10 years is provided for.
(2) The provisions of the preceding paragraph do not apply to a claim which is not yet due and payable at the time when it is determined.
Articles 170 through 174  Deleted
Part II Real Rights","If there are customs that differ from the provisions of the preceding three Articles, those customs prevail."
"
In cases where person A sold a jewel to person B, person B entered into a contract where person B was assigned to pay the purchase money to person C, and person C expressed his/her intention to enjoy the benefit of the contract, if person A delivered the jewel to person B, and person B has not paid the purchase money to person C yet, while person C can demand that person B should pay  the purchase money, person A can also demand that person B should pay the purchase money to person C.
","(1) If one of the parties promises in a contract to render a certain performance to a third party, the third party has the right to claim that performance directly from the obligor.
(2) The validity of the contract referred to in the preceding paragraph is not impaired even if a third party does not exist or a third party is not specified at the time of its formation.
(3) In the case referred to in paragraph (1), rights of the third party accrue when the third party has manifested intention of availing of the benefit of the contract under that paragraph to the obligor.",Deleted
"
In cases where person A sold a jewel to person B, and person B entered into a contract to pay the purchase money to person C as a performance of a loan obligation which A and D jointly and severally carry towards person C, if person D had already performed the obligation to person C, even after person C has expressed his/her intention to enjoy the benefit of the contract, person A can cancel  the contract upon agreement with person B.
","(1) If one of the parties promises in a contract to render a certain performance to a third party, the third party has the right to claim that performance directly from the obligor.
(2) The validity of the contract referred to in the preceding paragraph is not impaired even if a third party does not exist or a third party is not specified at the time of its formation.
(3) In the case referred to in paragraph (1), rights of the third party accrue when the third party has manifested intention of availing of the benefit of the contract under that paragraph to the obligor.","If a person that creates a pledge to secure an obligation of another person performs that obligation or loses ownership of the thing pledged due to the enforcement of the pledge, that person has the right to reimbursement from the obligor in accordance with the provisions regarding guarantee obligations."
"
In cases where person A sold a jewel to person B, and person B entered into a contract to pay the purchase money to person C as a performance of a loan obligation which A and D jointly and severally carry towards person C, if person D had already performed the obligation to person C, even after person C has expressed his/her intention to enjoy the benefit of the contract, person A can cancel  the contract upon agreement with person B.
","(1) After rights of the third party have accrued pursuant to the provisions of the preceding Article, the parties may not modify or extinguish those rights.
(2) If, after rights of the third party accrue pursuant to the provisions of the preceding Article, the obligor does not perform the obligation to the third party, the other party to the contract referred to in paragraph (1) of that Article may not cancel the contract without the consent of the third party.","(1) If the parties have not specified the timing of the return of the bailed thing, the bailee may return the same at any time.
(2) If the timing of the return is specified, the bailee may not return the deposited thing prior to the due date unless there is a compelling reason to do so."
